location,location_type,total_jobs_added_2008_2018,jobs_per_1_000_residents_2008_2018,total_building_permits_2008_2018,permits_per_1_000_residents_2008_2018,jobs_per_permit_2008_2018,multi_family_permit_share_1990_2005,multi_family_permit_share_2006_2018,average_size_of_multi_family_properties_1990_2005,average_size_of_multi_family_properties_2006_2018
"Amherst County, VA",County,-1494,-4.7,597,1.9,-2.5,9.6%,6.6%,3.2,3.6
"Augusta County, VA",County,1771,2.4,2369,3.2,0.7,6.6%,19.3%,8,13.8
"Bedford County, VA",County,3290,4.3,2763,3.6,1.2,3.0%,13.6%,4,15.8
"Botetourt County, VA",County,-148,-0.4,739,2.2,-0.2,5.3%,0.0%,8.6,NA
"Campbell County, VA",County,1518,2.8,1820,3.3,0.8,11.4%,33.6%,8.6,18.7
"Caroline County, VA",County,63,0.2,903,3,0.1,1.6%,0.5%,3.6,8
"Chesterfield County, VA",County,18184,5.4,14245,4.2,1.3,15.6%,32.3%,9.5,10.7
"Dinwiddie County, VA",County,358,1.3,689,2.5,0.5,4.4%,0.0%,9.7,NA
"Fluvanna County, VA",County,225,0.9,969,3.7,0.2,0.3%,4.1%,2,2
"Franklin County, VA",County,861,1.5,1204,2.1,0.7,3.7%,2.4%,6.3,4.6
"Frederick County, VA",County,7858,9.4,4805,5.7,1.6,5.3%,9.8%,3.6,9.5
"Gloucester County, VA",County,-445,-1.2,1343,3.6,-0.3,0.8%,3.4%,5.4,3.1
"Hanover County, VA",County,6757,6.5,4766,4.6,1.4,5.2%,1.5%,9.6,30.7
"Henrico County, VA",County,12932,4,9552,2.9,1.4,15.8%,17.1%,10,7.6
"Henry County, VA",County,710,1.4,342,0.7,2.1,6.9%,2.4%,3.9,7
"Isle of Wight County, VA",County,-1014,-2.8,1703,4.7,-0.6,6.7%,16.9%,6.8,18.5
"James City County, VA",County,2974,4.1,4743,6.5,0.6,10.1%,13.3%,6.6,4.9
"Montgomery County, VA",County,2008,2.1,3283,3.4,0.6,20.3%,32.0%,5.1,11.2
"Pittsylvania County, VA",County,976,1.6,856,1.4,1.1,7.5%,18.2%,4.6,4.7
"Powhatan County, VA",County,658,2.3,1427,5,0.5,0.2%,0.1%,2,2
"Prince George County, VA",County,3315,8.8,783,2.1,4.2,7.1%,13.5%,10.3,16
"Pulaski County, VA",County,876,2.6,492,1.4,1.8,9.0%,11.4%,4.8,4.7
"Roanoke County, VA",County,3183,3.4,1920,2.1,1.7,11.5%,16.7%,7.2,11.3
"Rockingham County, VA",County,3955,5,3332,4.2,1.2,11.8%,0.0%,2.7,NA
"Wise County, VA",County,-2933,-7.4,256,0.6,-11.5,3.0%,19.7%,3.4,12.6
"York County, VA",County,-201,-0.3,2437,3.6,-0.1,20.0%,42.3%,5.5,12.3
"Charlottesville (Independent C, VA",County,4106,8.8,2332,5,1.8,58.3%,66.3%,11.5,21.1
"Chesapeake(Independent City), VA",County,2105,0.9,11433,4.9,0.2,18.9%,22.0%,15.3,22.1
"Danville (Independent City), VA",County,-1738,-4.1,187,0.4,-9.3,35.5%,28.9%,4.5,8.8
"Hampton (Independent City), VA",County,-4764,-3.5,2489,1.8,-1.9,33.8%,38.1%,14.6,17.2
"Harrisonburg (Independent City, VA",County,361,0.7,1509,2.8,0.2,29.8%,50.8%,6,11
"Lynchburg (Independent City), VA",County,-3090,-3.9,1539,1.9,-2,18.6%,24.7%,4.1,21.7
"Newport News (Independent City, VA",County,3571,2,3507,1.9,1,46.3%,65.6%,41.1,22.6
"Norfolk (Independent City), VA",County,-1253,-0.5,6750,2.7,-0.2,48.1%,51.5%,11,17.4
"Petersburg (Independent City), VA",County,-1462,-4.6,661,2.1,-2.2,22.9%,70.0%,4,12.9
"Portsmouth (Independent City), VA",County,1276,1.3,1328,1.4,1,32.1%,30.0%,6.9,13.2
"Richmond (Independent City), VA",County,-3441,-1.6,6464,2.9,-0.5,40.4%,63.1%,8.6,21.8
"Roanoke (Independent City), VA",County,-4211,-4.2,1126,1.1,-3.7,26.4%,52.1%,5.5,20.5
"Salem (Independent City), VA",County,-2648,-10.4,273,1.1,-9.7,10.6%,2.6%,3.3,9
"Suffolk (Independent City), VA",County,6148,7,5854,6.6,1.1,18.6%,26.0%,8.7,15.9
"Virginia Beach (Independent Ci, VA",County,4365,1,12702,2.8,0.3,30.8%,49.1%,8.4,13.8
"Winchester (Independent City), VA",County,-1514,-5.5,558,2,-2.7,25.8%,50.1%,12.8,16.3
"Benton County, WA",County,14885,7.8,10722,5.6,1.4,21.2%,19.5%,8.2,14.2
"Chelan County, WA",County,5903,7.9,3491,4.6,1.7,16.0%,16.6%,4,8.1
"Clallam County, WA",County,635,0.9,2037,2.8,0.3,12.0%,13.5%,4.2,6.2
"Cowlitz County, WA",County,1854,1.8,2184,2.1,0.8,21.7%,9.2%,6.6,4.2
"Douglas County, WA",County,2382,5.9,1498,3.7,1.6,20.6%,17.6%,4.4,7.6
"Franklin County, WA",County,7850,8.8,5343,6,1.5,16.2%,8.4%,9.8,3.3
"Grant County, WA",County,5371,5.7,3474,3.7,1.5,21.6%,27.0%,4.2,8.6
"Grays Harbor County, WA",County,-1627,-2.3,1934,2.7,-0.8,16.1%,8.0%,6.1,8.5
"Island County, WA",County,1024,1.3,2685,3.3,0.4,9.9%,2.2%,4.2,4.7
"King County, WA",County,204478,9.7,127280,6,1.6,49.5%,69.6%,11.4,20.8
"Kitsap County, WA",County,6232,2.4,8260,3.2,0.8,16.0%,14.9%,7.6,8
"Kittitas County, WA",County,1147,2.6,3134,7.2,0.4,26.9%,13.3%,4.5,6.2
"Lewis County, WA",County,1203,1.6,1759,2.3,0.7,17.5%,14.5%,5.7,4.7
"Mason County, WA",County,30,0,1563,2.5,0,5.4%,4.0%,2.6,2.2
"Pierce County, WA",County,37162,4.4,32840,3.9,1.1,22.7%,31.6%,5.7,10
"Skagit County, WA",County,3353,2.8,3653,3,0.9,21.9%,8.5%,4.7,4.7
"Snohomish County, WA",County,34036,4.4,33722,4.4,1,29.5%,32.6%,6,8.8
"Spokane County, WA",County,13800,2.8,22605,4.6,0.6,34.5%,42.9%,8,10.6
"Stevens County, WA",County,192,0.4,969,2.2,0.2,9.3%,4.9%,7.6,3
"Thurston County, WA",County,15849,5.9,12723,4.7,1.2,13.7%,22.7%,5.8,9.8
"Walla Walla County, WA",County,1424,2.4,1828,3.1,0.8,23.2%,20.2%,4.1,5.1
"Whatcom County, WA",County,8214,3.9,9213,4.3,0.9,35.1%,34.1%,6.7,7.9
"Whitman County, WA",County,2414,5.1,2048,4.3,1.2,64.6%,61.5%,7.8,7.5
"Yakima County, WA",County,15258,6.1,4670,1.9,3.3,32.6%,17.4%,3.4,5.9
"Cabell County, WV",County,-1185,-1.2,1384,1.4,-0.9,60.1%,50.0%,13.5,5.8
"Fayette County, WV",County,-2029,-4.5,353,0.8,-5.7,13.9%,3.7%,8.4,3.5
"Hancock County, WV",County,-2326,-7.8,145,0.5,-16,27.6%,1.9%,4.6,2
"Harrison County, WV",County,3654,5.3,1185,1.7,3.1,20.1%,25.9%,5.9,6.8
"Kanawha County, WV",County,-9936,-5.3,1791,1,-5.5,23.3%,45.6%,6.7,6.3
"Logan County, WV",County,-2010,-5.8,42,0.1,-47.9,67.1%,31.3%,5.5,5
"Marion County, WV",County,-3071,-5.4,280,0.5,-11,2.7%,55.3%,3.5,8.8
"Marshall County, WV",County,2624,8.2,14,0,187.4,23.2%,0.0%,4,NA
"Mason County, WV",County,-1431,-5.3,31,0.1,-46.2,11.8%,6.7%,4,3
"Mercer County, WV",County,-2721,-4.5,122,0.2,-22.3,34.2%,25.0%,3.9,3.2
"Monongalia County, WV",County,7728,7.5,2111,2,3.7,64.1%,83.5%,8.5,24.7
"Ohio County, WV",County,-1395,-3.3,253,0.6,-5.5,29.3%,38.9%,4.6,9.6
"Preston County, WV",County,-46,-0.1,28,0.1,-1.6,7.6%,0.0%,4,NA
"Putnam County, WV",County,-226,-0.4,1202,2.1,-0.2,11.8%,20.4%,6.6,5.7
"Raleigh County, WV",County,-746,-1,960,1.2,-0.8,14.0%,2.8%,4.6,4.2
"Randolph County, WV",County,-859,-2.9,92,0.3,-9.3,30.0%,51.7%,6.3,2.7
"Wayne County, WV",County,-973,-2.4,310,0.8,-3.1,0.0%,18.8%,NA,9
"Wood County, WV",County,-4864,-5.7,1085,1.3,-4.5,25.4%,14.9%,5.9,3.3
"Brown County, WI",County,10657,4.1,8802,3.4,1.2,40.3%,39.9%,5.9,8.4
"Calumet County, WI",County,1736,3.5,1524,3.1,1.1,16.1%,27.3%,3.6,8.1
"Chippewa County, WI",County,2620,4.1,2183,3.4,1.2,22.6%,26.7%,3.3,3.4
"Columbia County, WI",County,2079,3.7,1345,2.4,1.5,22.6%,22.8%,5,4.9
"Dane County, WI",County,32374,6.2,27841,5.3,1.2,47.0%,61.3%,6.9,18.5
"Dodge County, WI",County,955,1.1,1639,1.9,0.6,32.1%,34.7%,6.5,7.9
"Dunn County, WI",County,1902,4.3,978,2.2,1.9,34.4%,23.5%,3.8,4.8
"Eau Claire County, WI",County,2592,2.5,3453,3.4,0.8,39.4%,38.1%,4.5,5.3
"Fond du Lac County, WI",County,1289,1.3,2437,2.4,0.5,31.7%,43.8%,6.1,8.9
"Grant County, WI",County,780,1.5,1032,2,0.8,18.3%,35.3%,3.8,5
"Green County, WI",County,839,2.3,559,1.5,1.5,16.2%,9.9%,3.2,2.8
"Jefferson County, WI",County,-1490,-1.8,1718,2,-0.9,35.5%,21.4%,4.9,4.4
"La Crosse County, WI",County,3280,2.8,3544,3,0.9,32.7%,34.7%,4.1,9.2
"Lincoln County, WI",County,-140,-0.5,843,3,-0.2,9.4%,5.9%,4.7,5.3
"Manitowoc County, WI",County,-2453,-3.1,1170,1.5,-2.1,30.8%,30.4%,4.5,4.4
"Marathon County, WI",County,1274,0.9,3216,2.4,0.4,20.8%,30.7%,4.3,8.1
"Marinette County, WI",County,-1056,-2.6,1060,2.6,-1,10.8%,10.5%,9,8.5
"Milwaukee County, WI",County,-7772,-0.8,10356,1.1,-0.8,61.5%,80.8%,10.5,22.9
"Oconto County, WI",County,-219,-0.6,1305,3.5,-0.2,5.0%,2.8%,6.6,6
"Outagamie County, WI",County,4065,2.2,6599,3.6,0.6,36.1%,35.2%,4.7,6.1
"Ozaukee County, WI",County,4090,4.7,2331,2.7,1.8,35.2%,26.1%,5.3,7.5
"Portage County, WI",County,721,1,1708,2.4,0.4,32.4%,36.7%,4.2,6.9
"Racine County, WI",County,258,0.1,2502,1.3,0.1,32.6%,25.7%,6,6.1
"Rock County, WI",County,1614,1,2024,1.3,0.8,37.3%,18.1%,4.5,3.9
"Sauk County, WI",County,-261,-0.4,1517,2.4,-0.2,35.1%,19.2%,5,4.1
"Shawano County, WI",County,-264,-0.6,573,1.4,-0.5,20.6%,11.6%,6.4,4.2
"Sheboygan County, WI",County,-76,-0.1,1585,1.4,0,34.2%,39.0%,5.2,5.6
"Walworth County, WI",County,2133,2.1,2278,2.2,0.9,30.2%,27.7%,5.7,5.4
"Washington County, WI",County,4399,3.3,3704,2.8,1.2,32.1%,27.1%,4.1,6
"Waukesha County, WI",County,10839,2.7,9382,2.4,1.2,34.1%,25.1%,7.3,15.2
"Winnebago County, WI",County,2997,1.8,4364,2.6,0.7,38.2%,36.1%,6.5,8
"Wood County, WI",County,-5418,-7.4,2024,2.8,-2.7,35.2%,53.3%,5,6.4
"Albany County, WY",County,-74,-0.2,1759,4.6,0,42.3%,34.8%,7.1,8.1
"Campbell County, WY",County,-4337,-9,1634,3.4,-2.7,5.5%,27.6%,36.5,12.5
"Fremont County, WY",County,-1493,-3.7,237,0.6,-6.3,26.7%,18.9%,4.2,4.6
"Laramie County, WY",County,2034,2.1,4344,4.5,0.5,20.6%,19.7%,6.1,8.3
"Natrona County, WY",County,-1568,-1.9,3944,4.9,-0.4,11.5%,27.1%,7.8,13.2
"Sheridan County, WY",County,-446,-1.5,1387,4.6,-0.3,11.5%,9.2%,3.7,3.5
"Sweetwater County, WY",County,-3347,-7.5,1397,3.1,-2.4,1.7%,27.1%,8.3,9.9
